id
Douglas Silva
Cornelius Kaup
Bye 6
Bye 8
Aron Lu
Kyung Hun Kim
Victor Hyungkwon Ha
Bye 7
Emily Pross
Rachel Bruskoff
Dayeon Wee
Bye 16
Sabrina Ambrosi
Dina Miss
Marie B.Wester
Megara Hsu
Kaila Dasol Jung
Elissa Mah
Anna Pixner
Bye 14
Jennifer Schauerte
Lyde Begue
Sylvia Mena Cortés
Bye 15
Kalil Hammouri
Sunghoon Choi
Zhizhen Ren
Bye 64
Justin Rouleau
Nick Dantanio
Light Liu
Andrew Atchison
Devlyn Dorfer
Lee Jungwoo
Morgan Owens
Jordan Hall
Mason Shin
Bye 57
Lucas Poulain
Aleix Gallimo
Chih-An Lin
Bye 60
Riley Harris
Scott Stone
Shi Jie Lin
Calvin Staub
Sungji Ahn
Nargae Kang
Arcadio Maquiling
Mitch Thompson
Yaoting Ho
Bye 61
Zak Maytum
Kyle Wester
Han Li Chiou
Bye 62
Adam Westfall
Yao Kuang Yeh
Daniel Engel
Nelson Cheng
Siyu Zhao
Diego Poncelet
Mark Meidinger
Yao-Kuo Chen
Bye 59
Harry Clarke
Bye 58
Tim White
Wing Tsun Thomas Ng
Wei She
Jzann Wei Tang
Jaydon Howarth
Mack Geddes
Nori Tamura
Allison Chu
Tiago Mohr
Santiago Espeche
Yukuan Tsai
Bye 63
Daina Banks
Carlos Paixão
Josh Evans
Joao Pedro Laporte
Jackson Shapiera
Brennan Bast
Tristan Cardillo
Chase Hiller
Thiago Gomes Lessa
Nicolas Desmarais
Jeff Molongoski
Sean Graves
Pascal Jean
Bye 5
Nicholas Broms
Jacsen Kutik
Matthew Antrum
Bye 4
Ashley Winecoff
Cassandra Duchesne
Kent Fletcher
Ryan Keenan
Samuel Blais
Ryder Molongoski
Edward Kiefer
Matthew King
Jesse Fabrizio
Campbell Zachara
Simon Snethen
Norman Plante
Austin Manning
Chris Castro
Charles Ouimet
Tristan Taillon
Jonathan Pelletier
Ed Garner
Ryan LeSueur
Liam Shaughness
William Beaulieu
Kais Salam
Tyler Kaminski
Jesse Martin
Alex Parent
Marcus Giovannone
Micaiah Harness
Jordan Bryan
Mathieu Gagnon
Leunam Segura
Aidan Sullivan
Stephan Vaast
Frederic Laberge
Ryder Hathaway
Chris Proto
William Royce
Chris Bustamante
Jeremy Ross
Austin Pedroni
Nick D'Bk
Lucien Topart
Louis-Philippe Déry
Jonathan Sheckler
Sam Levine
Vince Vazquez
Natalie Burns
Sebastian Chanco
Jan Bryan Figueroa
Eden Mcdonogh
Max Vickers
Caloy Sambrano
Raphael Duke
Ronald Sarinas
Jaime de Lange
Fifer Figueroa
Ayumi Oride
Keige Ando
Sidney Licop
Peter Fritz Siason
Bye 12
Abigal Viloria
Bye 13
Bye 10
Bye 11
Abigail Viloria
Ling Lee
Mengli Wang
Joaquin Romero
Andrei Ybañez
Miko Montifar
Earl Licop
John Tongco
Tito Sumicad
Tomas Romualdez
Duke Raphael Pandeagua
Rodri Arthem Alvaro
Oscar Rodriguez Escoin
Harper Knight
Cole Trotta
Stefano Barbizzi
Patrick Lombardi
Bye 1
Tim Scott
Bye 3
Marc Escoda
Bye 2
Daniel Minsky
Anthony Cafiso
Max Heaton
Giorgio Garino
Giulia Bottazzin
Marcus Aldinucci
Raphael Therrien
Jonathan Fletcher
Johnny Knight
Carlos Paixao
Kavon Zamanian
Kevin Scott Toledo Guevara
Lillian Barouillet
Jules Hornung
Arthur Spuhler
Vaek Cvancara
Pearse d'Arcy
Lars Troutwine
Gaetan Ricord
Brandon DesJarlais
Matthew Noseworthy
Pedro Oliver
Alex Dehmel
Davis Lanham
Yanis Markarian
Nicolas Robert
Pete Connolly
Javier Táboas Rico
Fabio Minnig
Patrik Orlainsky
Caden Castellini
Patrick Walker
Jan Brebeck
Oliver Moor
Germain Dageville
Ian Freire
Jakub Rod
Christoph Schmalz
Dylan Rumo
Janto Just
Dexter Manning
Alex Charleson
Pavel Zajic
Zak Mills-Goodwin
Justin Vivian
Dave Süess
Cam Brickenden
Maxime Cordier
Sean Woo
Henco Petrus Vermeulen
Marie Macherel
John Fletcher
Gerrit Geiger
Raul Perez Gallego
Tamara Prader
Lukas Wünsche
Christian Weiß
Michaël Pellicer
Philip Renners
Damian Derek Blanquer Gelez
Andre Leonardo Preto
Jakub Vít
Marnix Zimmerman
Grégoire Schwab
Raphael Waser
Bohumil efrna
Adam Klima
Antoine Carlotti
Lukas Pleva
Félix Bégaud
Joris Zimmerman
Giloume van der Walt
Gemma Holland
Duch 32
Susan Heine
Alejandra Cárdenas Gutiérrez
Helene Folliard
Maria Esyutina
Teresa Gillcrist
Livia Waldburger
Katie Edwards
Léa Richard
Jasmine Ngaparu
Duch 29
Lisa Peters
Annina Brühwiler
Duch 30
Anne Poursin
Grace Wong
Valerie Vitousova
Mina Nornes Westli
Marjorie Romeo
Feiyane Ruegg
Mariana Machacna
Duch 31
Anaël Lecomte
Maxwell Kaye
Julien Maillard
Angel Aparicio
Sarunas Rasalas
Julian Sherman
Marek Vanourek
Vojtech Zacek
Nawin Thiry
Jaime de Cardenas
Stepan Krukhmalev
Christopher Antrum
Marvin Müller
Nevio Mainardi
Alix Papoutsos
Pelayo Ramos
Arturo Chaves
Olav Øye
Luca Bardino
Dmitriy Tarasov
Janosch Ber Müller
Nosso Role Jonny k. Yednak
Ayoze Martin Perez
Piotr Duma
Ivan Borzev
Cristiano Borges de Araújo
E Chan
Garret Smith
Njaal Tangye
Victor Van Audenrode
David Ristic
Edoardo Barbi
Guido Cipolla
Andre Dante Olmedo Talavera
Bryce Edwards
Elia Martinalli
Menelik Rimondi
Remy Mialon
Isaac Woo
Joey Olden
Vil Yusupov
Jan-Petter Hammersland
Martí Font
Ian Coggan
Jack Mulholland
Nicolas Dell'oro
Jasper D'Haene
Andrea Moreni
Ambroise Trauet
Bernardo Iandelli
Vincent Bapst
Eldar Fernandez Cendejas
Arno Long Tien
Ali Nas
Sawyer Kulman
Alfred Cano Rivas
Florent Carles
Loïc Egido
Nick Greentree
Eduardo Falcão
Matteo Rodinis
Dale Smith
Jack Brown
Romain Solloso
Robert Stehlik
Lev Seidl
Adrien Vu Van
Caleb Grant
Enric Umbert
Hugo Gafner
Thibaud Mamin
Tristan Fort
Alexandros Tzouganakis
Guillaume Lefebvre
Michael Ambrey
Michal Kyncl
Kahlil Thembisile Dexter-Jadwat
Andrea Orlando
Carlos Schärer
Ruben Schray
Sander Viste Mehus
Robbie Larock
Jonas Stein
Maxwell Rondeau
Grayson Baggiolini
Joris Strassburg
Adam Suchomel
Elton Vejux
Gabriel Huerfano
Carlos Eduardo Arias Moreno
Harold Moreno
Tranquilo 5
Sirley Tabares Builes
Monica Restrepo
David Hernandez
Guillermo Prado
Camilo Mendes
Viviana Andrea Lopez Herran
Ernesto Esteban
Tranquilo 1
Juan Jose Herrera
Bryan Suares
Jorge Eliecer Rincon
Tranquilo 2
Andres Rodriguez
Juan Gonzalez
Daniel Herbert
Tranquilo 3
Omar Perez
Juan Camilo Campos Gutierrez
Laura Vargas Echeverry
Daniela Paoloa Rueda Rodriguez
Yeison David Monsalve Tiriana
Jhonny Alejandro Ospina Oviedo
Lucas Andrade
Correa Guillermo
Sebastian Jarmillo
Alex Javier Jaramillo
Fabio Esteban Angarita
Tranquilo 4
Jonathan Saldarriaga
Anderson Maldonado
Juan Montoya
Andres Sanchez Velez
Juan Camilo Mejia
Leon Sastre
Luis Giron Garcia
Felipe Marin
Guillermo Carrasco
Mariano Gentili
Jonathan Arturo Cuya Guardia
Juan Duran
Anderson Anacona
Juan Carlos Rincon
Yan Bertinati
Mauricio Rodriguez
Nicolas Moreno
Oscar Zambrano Paladines
Luis Esteban Ladera Ovalles
Michael Gabino Gomez Vera
Esneider Osorno
Juan Camilo Velez Gonzalias
Juan Sebastian Zuluaga
Juan Sebastian Rios
Felix Feddersen
Alejandro Arbelaez
Maicol Stiver
Lucas Londono Garcia
Tranquila 2
Tranquila 1
Maicol Campos
Jenny Schaurte
Jenny Carabajo
Laura Echeverry
Joan Suarez Sanchez
Andreson Maldanado
Guillermo Correa
Israel Zambrano
Sebastian Jaramillo
Alexander Cedeño
Guillermo Carassco
Jaime Garcia
Michael Vera
Jorge Hualpa
Sebastian Rios
Jesus Barberan
Callum Mathieson
Gustavo Campi
Joan Sebastian Sanchez
Oscar Paladines
Jonathan Guardia
Kevin Carcelen
Jennifer Carabajo
Mateo Sebastian Vasconez
Piero Fernando Salazar
Alexander Cedeno
Willem Zentveld
Luke Fisk
Brad Pearson
Adam Lewis
Jamie Gwillim
Connor Ferguson
Jack Bain
Robert McWhinnie
Benjamin Hay
Api Ihaia
Daniel King
Dane Hanna
Jack Gooley
Pepe Laporte
Michael English
Matthew Rae
Lochlainn Darroch
Nico Gallmann
Jack Meyn
Raine Kent
Billy Aston
Finn Grayswann
Shannon Tully
Jackson Loney
Neil Duddy
Stephen Davis
Tyron Knight
Sol Ewart
Morgan Campbell
Ryan Nicholls
Miles Jones
Finn Cantrill
Riley Young
Callum O'Callaghan
Zane Bonser
Finlay Wilson
Anderson Maldonato
Repechage 2nd place
Izquierdo Marco
Jorge Isaac Gonzales
Benjamin Perez
Wilder Mendoza
Alvaro Garcia
Luc Olazabal
Santiago Gonzalez Salaberry
Jonathan Cuya
Giancarlo Colmenares
Oscar Gutierrez
Sebastian Zuluaga
Lucas Costa
Kevin Toledo
Melissa Brogni
Repechage Winner
Josefa Ekdahl
Tranquila 3
Tranquila 7
Silva Luana
Winny Lujan
Tranquila 4
Zulema Chilge
Tranquila 5
Tranquila 6
Miguel Angel Meguina
Rafael Sabella
Tranquilo 6
Arturo Rodriguez
Augusto Garcia
Miguel Angel Sanchez Neira
Tomas Tordos
Carlos Mendoza
Norman Orellana
Norberto Jeremias
Jorge Alfaro
Tim Locke
Patrick Dougherty
Logan Bartsch
David Miller
Eric Fahrenthold
Dylan Skaggs
Philip Skaar
Jacob Prichard
Nick Gagliano
Kory Dahl
Adam Heironimus
Dan Arney
Bailey Winecoff
Gunter Weihe
Jesse Greenberg
Kurt Lievenbruck
Chris Anders
Joel Millman
Ed Kiefer
Ian Ashby
Parker Vidmar
Ty McKinney
William Auerweck
Arkadiusz Kowalski
Stefan Popa
Jan Martin von Bergen
Chandler Benton
Nicolas Rayner
Stefan Strungaru
Jasmijn Hanegraef
Robert Stehlík
Levi Mendoza
Paul Jeantet
Vasek Cvancara
Sebastian Hertler
Alessio Damato
